,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X12.HK.EQUITY,0,0.193957604914449,0,0,0,0,0,-8.67361737988404e-19,-0.0968384301610762,0,0,0,0,0,0,0,0,0,0,0,0.0999483321940021,0,0,-0.178731513295525,0.155459646232559,0,0,0,0,0.139903196244549,-0.262118948996296,0,0,0,0,0,0,0.046980598030768,0,0.253958558629268,0,0,0,0,0,0,0,0.0521611726168617,0,-0.0174231039531612,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172960281948485,0,0,0,0,0,0,0,0,0,0,0,0,0.0624657970394707,0,0.440539404978589,0,0.111106830370472,0,0,0,0,0,0,0,0.160369251212418,0,0,0.152296862297393,0
X2882.TT.EQUITY,0,0,0,0,0,0,0.146546652346117,0,0,0,0,0,0.0307154954644706,0,0,0,0.0126368019924368,0,0,0,0,0,0.186749934304754,0,0,0,0.127362579177935,0,0,0.00941206411519987,0,0,0,0,0,0,0.00793229219013813,0.0332716517540417,0,0,0,0,0,0,0,0,0,0,0.681859942196982,0,0
X823.HK.EQUITY,0.0935523447070869,0,0.0370168323040714,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.393689545570995,0,0,0,0,0,0.152223221692967,0,0,0,0,-0.0737854178061245,0,-0.431472549221424,0,0,0.15556071733723,0,0,0,0,0,0.0655647693795084,0,0,0.0631921915560024,0,0.139288744835134,0,0,0.115021683203255
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.276021627904948,0,0.0973178747054271,0,-0.0223425819461285,0,0,0,0.271145257219697,0.093685099515891,0,0,0,0,0,0,0.136774215917439,0,0.177358345124271,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194497333530954,0,0,0,0,0,0,0.666391659921673,0
X000776.CH.EQUITY,0,0,-0.0387293548813484,0,0,0,0,0,0,0,0.0334366388848347,0,0,0,0,0.0213665524261585,0,0,0.116496991670166,0,0,0.428389892699604,0,0,0,0,0,0,0,0,0,0,-0.039886117122064,0,0,0.235835779588248,0,0,0.0799891639779802,-0.0475421531533452,0,0.00729494918808384,0,0,0,0,0,-0.0489776249514004,-0.0280667529062511,0,0.0212857747581139
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310595129018986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359804116436384,0,0,0.276417125190424,0,0,0.0507298064311073,0,0.121003873419187,0,0,0.0251015959826896,0,0,0.0579984429922269,0,0,0,0,0,0,0,0,0.02183570740712
X001979.CH.EQUITY,0,0,0,0,0,0.0483237460251103,0,0.245780000885613,0,0,0,0,0,0.280559313669444,0,0,0,0,0,0,0,0,0,0,0.0249158976719075,0,0,0.135441563966257,0,0.0399837852072553,0,0,-0.00418342789617406,0,0,0,0,0,0,0,0.337668555980517,0,0,0,0,0,0,0,-0.152195956263734,0,0
X2881.TT.EQUITY,0,0.0526338681329447,0,0.00395960124001137,0.165535380391213,0,0,0,0,-0.0635132320238481,0,0,0,0,0,0,0,0,0.0368328293659553,0,-0.0701970200738552,0,0,0,0,0,-0.0189522982821801,0,0,0,0,0,0.0248719454169799,0,0,0,0,0.194342974067884,0,0,0,0,0.535860083148906,0,0,0,-4.33680868994202e-19,-0.151832677348621,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0465662564211731,0,0,0,0,0,0,0.21463026679,0,0,0,0,0.00558352252319417,0,0,0,0.0514169089902164,-1.0842021724855e-19,0,0.076557908694881,0,0,0,0,0.0265521924257076,0,0.0502936113550771,0,0,0,0,0,0.0938383640751715,0,0,0.256356669301091,0,0,0,0,0,0
macro_return_add,0,0,0,0,0,-0.0197134856323238,0,-0.247208151787011,0,0,-0.0710052393627082,-0.1970809370507,0,0,-0.00366802201892804,0.268057463202964,0,0,0,0,0,0,0,0,0,0,0,0.151738468315616,0,0.106901360450456,0.660348585364732,0,0,0,0,0,0,0,0.0723362435643664,0,0,0,0,0,-0.617843140013107,0,0,0,0,0,0
