,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X1113.HK.EQUITY,0,0,0,0.0333614345982605,0.00816543997382931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144783512577438,0,0,0,0,-0.105844324064328,0,0,0,0,0,-0.0509080993304886,0,0,0,0,-0.0323339869917294,-0.0857966082858157,0.294862386040754,0,0.105843843462687,0,0,0,0.0473788300594786,0,0,0,0,0.125107950649908,0,0.193879606683374,0,0,0
X12.HK.EQUITY,0,0,0,-0.133183976173682,0,0,-0.00419437652600644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522210045987417,0,0,0,-0.216679645476578,0,0,0,0,0,0.0888287176021263,0,0,0,0,0,0,-0.065762607845497,0,0.0325430306176345,0,0.216914154099857,0.449377354980388,0,0,0,0.0585775028503909,0,0,0.138771375807751,-0.0456963763842813,0
X16.HK.EQUITY,0,0,0,0.131087961611618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5060196685528,0,0,0,0,0,0,0,0,-0.18995191381099,0,0,0,0,0,0,0.0704044220961411,-0.0147774563820812,0,0,0.133386388846033,0,0.122335491892224,0.0798198923726104,0.323208506663487,0,0,0,0.0437097650983468,0.0874691213885298,0,0.0697931321504598,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.079838913889326,0,0,0,0,0,0,0,0,0,-0.117252151587952,0,0,0,0,-0.0240048523538684,0,0,0,0,-0.0462151903289752,0,0,0,0,0.159781185000503,0.132613678181925,0,0,0.171322043383006,0,0,0,0,0.261359353463153,-0.038979378597065,0,-0.246969431387737,0
X267.HK.EQUITY,0,0.00424103986861779,0,0,0,0,0,0,0,0,0.179248161021896,0,0,0,0,0,0.00104610574414459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0891612828582659,0.0622838269893651,-8.67361737988404e-19,0.0155432873392971,0,0,0.133530890458525,0,0.191211961560285,0,0,0,0.43919697077493,0,0,0,0,-0.38289448922965,0,0,-0.0327853477750105
X688.HK.EQUITY,0,0,0,-0.0236270620772035,0,0.0593931887724494,0,0,0,0,0,0,0.185008087877821,0,0,0,0,0.19086961466674,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058604247904152,0,0,0,0,-0.011065048630609,0,-0.0704678148585107,0,-0.211098011550432,0,0.525376928790809,0,0,0,0.227091873566816,0,0,0,0,0.162974779986456,-0.12000561034985
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.134605617298466,0,0,0,0,0,0,-0.0497220213560251,0,0,0,0,0,-0.180029054016724,0.0640277693281879,0,0,0,-0.355301944847421,0,0,0,0,0,0,0,0,0.0162574506380328,0,0,0.394288728424901,0,0,0.118585593285499,0,0.0964464884318925,-0.0388100634093103,0.0212371647277458,0,0,0,0,0
MKRturn,0.373415356427257,0,-0.0622295071903046,0,-0.084373168386112,0,0,0,0,0,0,0,0,-0.261167132819181,0,0,0,0,0.128736044026232,0,0,0,0,0,0,-0.0376944600425245,0,-0.139800163763333,0,0,0,0,0.133237947983972,0,0,0,0,0,0,0,0,0.0450324839710085,0,0,0.258654634767999,-0.343693863200945,0,0,0,0,0,0,0.0511424917328547
TED,0,0,0,0,0,-0.0720980181482887,0,0,1.73472347597681e-18,0,-0.0285951577507157,-3.46944695195361e-18,0,0,0,-0.11588346623368,0,0,-0.159451737018896,0,0,0,0,0,-0.246184584286671,0,0,0,0,0,-0.0763919247074937,0,0,0,0,0,0,0,0,0,0,0,0.0848887789732629,0,0,0.0315850203636127,0.303375246295076,0,0,0,0,0,0
RealEstateDiff,0,0,0,0,-0.052867163151302,0,0,0,0,0,-0.0617321734510032,0,0,0,0,0.0480397636162225,0,0,-0.29927319107977,0,0,-0.182644077672378,0.333767621343682,0,0,-0.276770483818654,0,0,0,0,0.062474971789987,0,0,-8.67361737988404e-19,0.0842664098748573,0,0,0,0,0,0,0,0,0,0.18259431683038,0,0,0,0,0,0.0989925050241179,0,0
