,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY
X12.HK.EQUITY,0,0,0,0,0,-3.46944695195361e-18,0,0.458956973004086,-0.0409177934838378,0,0,0,0,0,-0.0506796895670124,0.0768095936545744,0,0,0,0,0.411889023716704,0,0,0,0,-0.0262077509432967,0,0,0.0850052817027506,0,0,0,0,0,0,0,0,0,0,0,0,-0.203606772639817,0,-3.46944695195361e-18,0,0,-0.067783156809541,0,0,0
X001979.CH.EQUITY,0,0,0,0,-0.0479912655881074,-0.105653894057281,0,0,0,-0.0676406059448564,0,0,0,0,0.127105945899506,0,0,0,0.834347868166306,0,0.0156544718489536,0,0,0,0,0,-0.0295628259477853,0,0,0,0,0,0,0,0,0.138584466199354,0,-0.0152051114013063,0,0,0,0,0,0,-0.159998926741388,0,0,0,0,-0.0390181902531553
X601229.CH.EQUITY,0,0,-0.134446190908124,0,0,0.126507161626963,0,0,0,0,0,0,0,0,0.0782489259669857,0,0,0,0,0.350724801788918,0,0,0,0,0,0,0,0,0.314846041642877,0,0,0,0,0,0,0,0,0,0,0.130141693271004,0,0,0,0,-8.85266252701467e-05,0,0,0,0,-0.00350105866779812
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.161120982825582,0,0,0,0,0,0,0,-0.299525571899787,0,0,0,0,0,0.120774682963275,0,0,0.106585118128693,0,0,0,0,0,0.324145122018773,0,0.763080278080581,0.0569747140003232,0,0,3.46944695195361e-18,-0.748312808856641,0,0.0621158642656418,0,0,0,0.321507761903562,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.10644348928808,0,0,0,0,0.119789702944023,0,0.188180686485969,-0.0371277046077382,0,0,-0.279252204791702,0,0,0,0,0,0,0,0,0.0116230371795006,0.0602747612493278,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.0902356304504013,0,0,0.165460903903823,0,0,0.744098613317609
X000776.CH.EQUITY,0,0,0,0.0666730990481857,0.0287607605949919,0,0,0,0,0,0.210599280588998,0.0276563839151232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101507013840473,0,0.360531129279022,0,0,0,0.200993585964729,0,0,0,0,0,0,0,0.116926869289658,0.105053941865268,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.29558080532719,0,0,0,0,0,-0.0769705686309005,-0.0106426407301431,0.380381337442476,0,0,-0.102323459832536,0,0,-0.203613580679098,0,0,0,0,-0.145815852434938,0,0,0,0,0,0.127286100061521,0,0,0.122093554554921,-0.122431032542474,0.419901819522473,0.156896754362893,0.233414690519048,0,0,0,0,0
X601169.CH.EQUITY,0,0.0587501844021204,0,0,0.0413055526855234,0,0.0589088921358382,0,0,-0.0528315796017059,0.0648124481132601,0,0,0,0,0.065559659519831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946263458543326,0,0,0.0507523211081735,0,0,0,0.0975881963755035,0,0,0.190582039795836,0,0,0.118998146836699,0,0,0,0
X600918.CH.Equity,0,0,0,-0.0800986228647252,0,0,0,0,0,-0.0129341694797854,0,0,0.130618391857055,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.420686994173994,0,0,0,0,-0.0329756551911914,0.129286993866509,0,0,0.222578490238055,0,0,0,0,0,0,0.246661819062763,-0.0216571445647903,0,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0559691692851526,0,0,0.0875011832566584,-0.0852053861752474,0,0,0,0,-0.366138272431357,0,0,0,0,0,-0.0575130068873389,0,0.0187949680457646,0,0,0,0,0,0,0,0.134726649148612,0,0.236674190223019,0,0.145962597218564,0,0,0,-0.0613788376100245,0.528900405761372,0,0,0,0,0
