,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,macro_return_add
X823.HK.EQUITY,0,0,0,0,0,0,0.23682714352926,0,0,0,0,0,0,0,0,0,0.492981413989534,0,0,0,0,0,0,0.106850874687363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0495534532979572,0,0,0.133468628288597,0,2.77555756156289e-17,0,-0.0122686565705312
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0.129857790806249,0,0,0,0,0,0,0,0,0,0,0.209295656934837,0,0,0.0650203306505542,0.157887660055628,0.0487042077139187,0.20441794714781,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.00660822309243634,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.163268997165486,0,0,0,0,0.0455110835068347,0.00178008210380231,0,0,0,0,0,0,0,0.0850456252984041,0.0359301015186919,0,0,0,0.0157012865161972,0.0687128666633675,0,0,0,0,0,0,-0.0910253884403225,0.0207959393277497,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.284052963834946,-0.0737101298208738,0,0,0,0,0.173433557939614,-0.0131797402822771,0,0.0565153741158618,0,0.0990870278734512,0,0,0,0,-0.142375254887814,0,0,0,0,0.107148554517645,0,0,0.199159355205931,0,0,-6.7762635780344e-21,0,-0.0542037611155952,0.435566488902668,0,0,0,0,0,0,0,-0.00126663571070233,0,0
X000166.CH.EQUITY,0,0,0.00628766422845687,0,0,0,0,-0.0221818572790984,0,0,0,0,0,0,0,0.230043126671334,0,0,0,0.0596040790977961,0,0,0,0,0,0,0,0,0,-0.130715323397373,0.00549380413670168,0.031695659645337,0,0,0,0,0,0,0,0.240201733371405,0.11864244958322,0,0,0,0,0,0,0,0,0,-0.0341019423167488
X2881.TT.EQUITY,0.023554347073572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421640769109419,0,0,0,0,-0.0806760659080913,0,0,0,-0.0267751706174544,0,0,0,0,0,0,0,-0.0633360319329596,0,-0.0762745814420269,0,0,0,0.5681731667728,0.0999544947896641,0,0.107448991480539,0,0,0,0,0,0,0,0.332483743412428,-0.0382034683557907,0
X1997.HK.EQUITY,0,0,0.0309784347295698,-0.0987585933348196,0,0.0996778956601058,0,0.330989272486594,0,0.116318799730947,0,0,0,0,-0.0445842797781828,0,0,0.176299621431201,-0.282079865278446,0.147775976748583,0.148654515449845,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.0352648669782257,0,0,0,0,0,0,0,0,0,0.331859631276155,0,0,-0.00516377589845057,0,0,0,0,-0.0445559982189082,0,0.00208432425120828
X601169.CH.EQUITY,0,0.252660922417036,0,0,0,0,0,0,0,0.170394076650644,0,0,0,0,0,0,0.0432799003513354,0,0.182673458708122,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.332230238731513,0.00365013180214056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,-0.00418784464591077,0,0,0,-0.0198691572498165,0,0,0,0,0.137119124025836,0,0,-0.352093830384328,0,0,0,0,0.106646422644512,0,0,0,0,0.143935505513099,0,0,0.345476301062213,0,0,0,0,0.0116212269167485,0,0,0,0,0,0,0,0,0,0,0,0.589074836103261,0,0.0748495964969962,0,0,0.0988726218208168
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
macro_return_add,0,0,0,0,0.105688390375109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0972355461597445,0,0,0,0,0,0,0,0,-0.202946662420953,0,0,0,0,0,0,0,0,0,0,0,0,-0.00473171348828054,0.0270394257051487,0,0,0,0,0,0
