,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601577.CH.EQUITY,0,0,0,0,0,0,0.0994160694301891,0,0,0.00980696988777036,0,0,0,0,0.0362242524075328,0,0,0.104985691729846,0,0,0,0.158861032752073,0,0,0,0,0.0131225907281583,0,0,0,0,0,0.0128268951508624,0.0958113708496429,0,0,0.0588247820620069,0,0,0,0,0,0,0.0650532167683028,0,0,0,0,0,0.448833220661207
X2888.TT.EQUITY,0,0,0,0,0.24596940272003,0,0,0,0,0,0,-0.0794129181874281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227533646318093,0,0,0.00146277923594914,0.0164656816423524,-0.0624651429117253,0,-0.0241300065691405,0.201192165921643,0,0,0,0,0,0,0,0.122135827690368,0.0919333474437228,0.120327458813014,0,0,0,0,-0.0832556014940749
X2880.TT.EQUITY,-8.67361737988404e-19,0,0,0,0.0548657976914976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00670152588520364,0,0,0,0,0,0,0.0562236805570029,0,0,0,0,0,0,0,0,0,0.0716459367505289,0,0.321130830511591,0.153402604008853,0,0.129980654840618,0,0.131745749502153,0,0.0282583786806655,0,0,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875278088189189,0,0.0611721622303112,1.73472347597681e-18,0,0,0,0,0.274121623029337,0,0,0.239659843919062,0,0,0,0,0.127141593799223,0,0,0,0,0,0,0
X2883.TT.EQUITY,0,0,0.0369511845874973,0,0.315803657314136,0,0,0,0,0,0,0.0339317720741946,0,0,0,0,0,0,0,0,0,0,0,0,-0.129796128232466,0,0,0,0.0371283484461384,0.272230380640849,0,0,0,0,0,0,0.0777274218200479,0,0.00170294360401094,0,0,0,0,0,0,0,0,0,0.22415798882851,0
X601688.CH.EQUITY,0,0,0,0,-0.127873272856664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453335829622038,0,0.425041485525343,-0.0918570660085835,0.055399601964865,0,-0.0190779812829562,-0.00101295222678196,0,0.11371542225294,0,0.0663252199893777,0,0,-0.0422902270292133,0,0,0.660296853798318,0,0
X600837.CH.EQUITY,0,-0.0264070565868533,0,-0.0644093060666438,-0.0125967203238085,0,0,0.128406392359543,0,0,0.0202011310171974,-0.105473090217224,0,0.329198389694709,0,0,0,0,0,0,-0.0607717571889433,0,0.0413522332696816,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.290163495670736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300598315594167,0,0
X601211.CH.EQUITY,0,0,0,0,-0.0168648128520764,0,0,0,0,0,0,0,0,0,0,0,0.0840045560315276,0,0,0,0.0317633142645466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408488815385846,0.417269543390016,0,0.0512117181711833,0
X2885.TT.EQUITY,0,0.0457109054135768,0,0,-0.0238937880719946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0280260938166554,0,0,0,0.0839042507876186,0,0,0.285585247111133,0,0,0,-0.150319215004173,0,0,0,0,0,0,0.0455340282709061,0.396844269899908,-0.0449611119343053,0,0.0555989792952143,0,0,0.0559381871177318,0,0,0,0,0
X601997.CH.EQUITY,0,0,0.0460347174061326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16647929418708,0,0,0.276956401524114,0.103014857253586,0,0.110775084177253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210376196008265,0,0,0,0,0.151308276826412,0,0,0,0
