,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601229.CH.EQUITY,0,0,0.0904744818988717,0.46432946311198,0.0774632417428512,0,0,0,0.0346296071617163,0.0837582813216071,0,0,0,0,0,0,0.0770001864189577,0,-0.0561845635731706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136872684492056,0,0.232266749321884,0,-0.147509980063957,-0.0885884888488876,0,-0.138299393307881
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534511599994732,0,0,0.225159152204235,0.0873098025036347,0,0,0,0,0,0,0.00488130772786151,0,0.0228482450262873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399675828436973,0.0468879364770712,0,0.163807937977356,0,0,0,-0.105871553863094
X1997.HK.EQUITY,0,0,0.0923684687411057,0,0,0,0,0,0,0.0314946307387957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980512421529699,0,-0.0316176094176523,0,0,0,0.157861831242795,0.514378356169309,0.00603573367648419,0,0,0,0,0,0.0156590475266426,0,0,0,0,0,0,0,0,0,0.0383346910919446,0,0
X601169.CH.EQUITY,0,0.0721828200474391,0,0,0,0.171430876476522,0,0.0835579266340833,0,0,0,0.119654900111681,0.0957695704238632,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0168886455112877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198121472572895,0,0,0.228689687427396,0,0,0,0,0.0519125780215301,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678449813832712,0,0,0,0,0,0,0,0.278479381273486,0.0216619247900355,0,0,0,0,0.178408631585229,0,0,0,0,0,0,0,0.082159650886637,0,0,0.0475859644084214,0.227509526293622,0,0.0672530383384156,0,0.0574801508904992,0,0,0,0,0,0
X2881.TT.EQUITY,0.10450091094766,0,0,0,0,0,-0.0169707064015609,0,0.00029882652043359,0,0,0,0,0,0,0,-0.0305689751429593,0,0,0,0,0,0,0,0.0667005003513265,0,0,-0.0641086932949763,0,0.192475081885369,0,0,0,0,0,0,0,0,0,0.404066586344853,0,0,0.0668991635124918,0,0,0,0,0,0,0.170565991860499,0,-0.167899397418011
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0685412258944763,0,-0.119964351901345,0,0,0,0,0,0,0,0,-0.0183206092073919,0,0,0,0,0,0,0.0921747161667884,0,-0.0279986367449692,0,0,0,-0.0390152004964604,0,-0.067056876993647,0.742606572322542,0,0.120485735771964,0.0254411372726309,0,0,0,0,0,0,0,0.149270087120893,0,0.0435028831410209,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0451079113027903,0,0,0,0.0484045225230453,0,0,0.0474584188088395,0,0,0.151330972569638,0,0,0,0,0,0,0,0,0,0,0,0.0758432403621698,0.0283827330317842,0.431121235025767,0,0,0,0,0,0,0.088464161297496,0,0,0.0799486645608314,0,0,0.016987862946339,0,0.0537021065220439
X2886.TT.EQUITY,0.422258931064455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110093614387731,0,0,0,-0.10395701116155,0,0.204310667416953,0,0.0153998319680462,0,-0.277495354942646,0,0,-0.0703835417033691,0,0,0,0,0,0,0,-0.215230583853969,0,0,0.276177594952455,0.131805013139984,0.0383755404096751
X2891.TT.EQUITY,0,0,0.608533788115797,0,0,0,0,0,0,0,0,0,0,-0.0559909440769836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104226810240748,0,0,0,0,-0.0393572296184539,0.0647695859071782,0,0,0,0,0,-0.0896082629806009,0,0,0,0,0,0,0.446875113025086,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0.6189730221332,0,0,0,0,0,0,0.00948661576775958,0,0,0,0,0,0,0,0,0,0,0.178292660195706,0.262361865532368,-0.643572338788502,0,0,-0.264703731074155,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567117647820452,0,0,0.141099470971494,0,0,-1.73472347597681e-18
CN2YR,0,0,0,0,0,-0.107442899729886,-0.0316245342209719,0,0,0.0640203142589353,0,0,0,0.294650855814574,-0.108539529367642,0,0.225540342110922,-0.251707039059755,0,0.249906823113007,-0.00631152608699387,0,0,0,0,0.282829391836366,0,0,0,0,0,-0.187987816474711,0,0,0,-0.110837106019769,0,0,0,0,0,0,0,0,0,0,0,0,0.196417163317312,0,0,0
