,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X600048.CH.EQUITY,0,0.097424352134163,0,0,0,0,0,0,0.184905225052393,0,0,0,0,0,0,0,0,0.0345737738040766,0,0,0,0,0,0,0,0,0,0.00340606140704164,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0.161499793072618,0.318610694387014,0,0,0,0,0,0,0,0,0,0.0987971705959841,0,-0.0180269536153305
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256844977798622,0,0,0,0,0,0,0,0,0.0692790265421984,-0.186161691273782,0.170615127017731,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.584737167976657,0.123811453446078,0.199708611112151,0,0
X1113.HK.EQUITY,0,0,0,0,0,0.0842306699527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241306001384708,0,0,0,0,0,0,0,0.297696257510902,0,0,0,0,0,0.257377267407084,0.271303766108075,0,0.0561373879745341,0,0,0,0.0503633466879402
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162168278673934,0,0,0,0,-0.0208174021905464,0,0,0,0,0,0,0.0316246565620787,0,0,0,0,0,0.0741447760929225,0.095160288870802,0,0,0,-1.73472347597681e-18,0.451897814686422,0,0.245195641891587,0,0.0268146534312674,0,0,0.0816789402268231,0
X16.HK.EQUITY,0,-0.0999856372313027,0,0,0,0,0,0,0,0,0,0,0,0,0.225532153590207,0,-0.0836760777157383,0,0,0,0,0,0,0,0,0,0.0484417355782065,0,0,0,0,0,0,0,0,0.0247795556941911,0,0,0,0,0,-0.0363698834144148,0.723421490188404,0,0,0,0,0,0,0.0966775324252597,0.0211480762334485
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.280270511113151,0,0,0.0537598689847528,0,0,0,0,0,0,0,0,0,0,0.192621862505495,0,0,0,0.365412952709343,0.265429906737925,0,0,-0.161536877814461,0,0,0,0,0,0,0,0.110169666856389,0
X2007.HK.EQUITY,0,0,0,0.147147710896989,0,0,-6.93889390390723e-18,0,0.16291189576841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243270425597954,0.0482101122263526,0.0042841398040143,0,0,0,0,0,0,0,0,0.327186571020734,0,0.00202872180199414
X267.HK.EQUITY,0,0,0,0,0,0.0829982450127238,0,0,0,0,0,0,0,0,0,0.132942150129818,0,0,0.0654990735216571,0,0,0.0156723464365131,0,0,0,0,0,0,0,0,0.0718895152033415,0,0,0,0,0,0,0,0.0512824479237559,0,0,0.131434771233279,0,0,0.263552293366643,0,0,0,0.164472799266797,0,0
X688.HK.EQUITY,0,0,0,0,0.0258778689684749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789457524550967,0,0,0.0884560325685275,0,0,0.204629189185784,0,0,0,0,0.406393981883647,0.103834560526488,0,0,0
X823.HK.EQUITY,0,-0.138906375268018,0,0,0,0.222659829246962,0.0313327625420531,0,0,0,0,0.134341282213069,0,0,0,0,0,0,0,0,0,0,0.0914852908222187,0,0,0,0,0,0,0,0.0457239638795728,0,0,0,0,0,0,0.0627936673471399,0,-0.127360610890647,0,0,0.390271219509633,0,0,0,0,0.0496369014924497,0,0,0.0720295049617128
macro_return_add,0,0.278507097887471,0,0,0,0,0,0,0,-0.143636817431663,0,0,-0.633916898594657,0,0,0,0.124538044947895,-0.648046031460633,0,0.403030619344147,0,0,0,0,0,0,0,-0.548285254641367,0,0,0,0,0,0,0.15306463274137,0,0,0,0,0,-0.12607185639439,0,0.31533994617978,0,0,0,1.03221271741015,0,0,0,0
