,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X2882.TT.EQUITY,0,-0.0176539014123898,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,-0.021931394133181,0,0,0,0,0.038994843499443,0,0,0,0,0,0.251144358982494,0,0,0,0,0,0,0,0.129888629894935,0,0,0,0,0,-0.0990068806780302,0,0,0,0,0.0710752275339497,0,0,0,0,0.566838231877363,0,0,0
X1113.HK.EQUITY,0.00504303117283227,0,0.0130428336485415,0,0.244228172956299,0.255988539301419,0,0,0,0.099122355833785,0,0,0,0,0,0,0,0,0,0,0.0464913262444185,0,0,0,0,0,0.0214168061636933,0,0,0,0,0,0,0,0,0,0,0,0.156258800549947,0,0.093803358115926,0,0,0,0,0,-0.0825637964913016,0.0379301108552223,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,-0.125970772589598,0,0.0168382747958829,0,0,0,0,0,0,0,0,0,0,-0.104096811390602,0,0,0,0,0,0,0,0,0,0,0.137866144523196,0,0,0,0,0.0684879181479493,0,0,0.196899720896425,0,0,0.222685980788779,0,0,0,0,0,0,0.0574063708336037,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0690059450162749,0,0.0684020666070411,0,0.235136742054188,0,0,0,0,0.00996912545987804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347448635891974,0.0521174780117843,0,0.0160137684341299,0,0,0,0,0.0706552800836952,0,0.335368757481162,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.106463063763147,0,0,0,0,0.00753692246972134,0,0.217839977660774,0,0,0.0796770773773861,-0.0529778124155724,0.0877578724514811,0,0,0,0,0,0,0,-0.00296106823103736,-0.0204522059221964,0,0,0,0,0,0.127624357880908,0,0,0.0613889222999839,0,-0.0647921355224526,0,0.244561198083276,0,0,0.0407538776287755,-0.0248648925941169,0.11348097173134,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344057696754714,0.107178879506924,0,0,0,0.0477504601865081,0.608774078316841,0.171344407052513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636161902238653,0,0,0,0,0,0,0,0
X600918.CH.Equity,0,0,0,0.0352992941296717,0,0,0,0,0,-0.0629367924391842,0,0,0,0,0.113586197562753,0,0,0,0,0.00107782503130853,-4.33680868994202e-19,0,0,0,0,0,-0.0582389170820365,0,0,0,0,0,0,0,0,0,0.268034709363363,0,0,0.0373808014789379,0,0,-0.0110744872746435,0.20651486100657,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0.187372763152692,0,0.0326243193972852,0,0,0,0.0652453633414087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0135698916480932,0,0.1525483091388,0,0.209782134966059,0,0,0,0.0500738531406166,0,0.536528367596453,0,0,0,0,0,0,0,0,-0.0951420321018442,0
X1997.HK.EQUITY,0,0,0,0,0.163608165571699,0.144709462553882,0,0,0,0,0,0,-0.0230598616254668,0,0,0,0.173334389718408,-0.0068826961393808,0,0,0,0,0,0.109403829203962,0.043200524582137,0,0,0,0,0,0,0.192793309525836,0,0,-0.0608162986163289,0,0,0,0,0,0,0,0,0,0.2404513903036,0,-0.320674846059062,0,0,0,0.203780388611368
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.169707235521966,0,0,0,-0.0375895446767794,0,0,0,0,0,0,0,0,0.0992396280373117,0,0,0,0.324508789003314,0.361096776113689,0,-0.00866377267605586,0,0,0,0,0.0882405914756807,0.136998129123466,0,0,0,0,0,0,0,0.0711634695669857,0,0,0,0
macro_return_add,0,0,0,0,0,0,0,-0.205880230889857,0,0,0,0,0.274656250547198,0.11640222464992,0,0,0,0,0,0,-0.123631830658867,0,0,0,0,0,0.00352358030474678,0,0,0,-0.257650149444251,0,-0.244578404272045,0,-0.0149345295820239,0,-0.242474939264865,0,0.441538448731781,0,0,0,0,0,0,0,0,0,0.035039787112164,0,0
